activation,optimizer,learning_rate,architecture,batch_size,training_time,val_metrics,test_metrics,train_loss_history,val_loss_history
relu,mini_batch,0.01,"[5000, 128, 90]",32,11.435542106628418,"{'Hamming Loss': array(0.0049192), 'Accuracy': array(0.7020592), 'Precision': array(0.94806145), 'Recall': array(0.67746994), 'F1 Score': array(0.7902439)}","{'Hamming Loss': array(0.00534393), 'Accuracy': array(0.71579993), 'Precision': array(0.87087379), 'Recall': array(0.71875), 'F1 Score': array(0.78753292)}","[0.05873284663560021, 0.04254626390885919, 0.0395050459596384, 0.03616513669699578, 0.03334812916325344, 0.031060430195604498, 0.029244109640576433, 0.02728447235294575, 0.026093200341246812, 0.02498313925263453, 0.02376318691512852, 0.022786153509748247, 0.02182105434817264, 0.020898766393495038, 0.020177563183685226, 0.019301548940563212, 0.018647509993355144, 0.0180789865144597, 0.017502345165236466, 0.016777465209094504]","[0.04430715027912324, 0.04004596727347699, 0.03730962696669631, 0.03428079021903873, 0.03187793788511652, 0.02961323438302496, 0.027970072196415646, 0.026535911893957917, 0.025775031292881535, 0.024707866528404367, 0.023720448753675585, 0.02323106527812066, 0.022444137282088827, 0.021065226195851203, 0.020342313043675685, 0.01983935060480881, 0.01923337939862401, 0.018519654295029223, 0.018119451459147812, 0.01776304415496185]"
relu,mini_batch,0.01,"[5000, 128, 90]",32,11.189777374267578,"{'Hamming Loss': array(0.0043758), 'Accuracy': array(0.73745174), 'Precision': array(0.96102055), 'Recall': array(0.70883429), 'F1 Score': array(0.81588448)}","{'Hamming Loss': array(0.00453425), 'Accuracy': array(0.75157337), 'Precision': array(0.89646465), 'Recall': array(0.75854701), 'F1 Score': array(0.82175926)}","[0.059771022029783814, 0.04278136043106749, 0.039653088147759176, 0.036437334963721875, 0.03367197467502438, 0.03115456071573985, 0.029458550044881637, 0.027823916382787736, 0.026419476735823188, 0.025278324696366726, 0.024201642396585194, 0.02295294180002911, 0.022068207636727115, 0.02106299944349882, 0.020266078060978136, 0.01953133863324075, 0.01887239675699985, 0.018104254355165193, 0.017481604269638393, 0.01692044639030789, 0.016370013268303268, 0.01601983073462266, 0.015422130223699426, 0.014951548260239375, 0.014501552795704193, 0.014131976044524937, 0.013751242374894265, 0.013454473631045507, 0.013053159768041483, 0.012736773616272257]","[0.04378021273628523, 0.04061349261603994, 0.03813292740542605, 0.03422205122019535, 0.03287750277074071, 0.029972309311001172, 0.02813960386422456, 0.02714422443724527, 0.026139433345123978, 0.025070579881036604, 0.023555718078427847, 0.02307031317309824, 0.022182047446141853, 0.021147657511407215, 0.020382869240326427, 0.021257110357917722, 0.01989304788204317, 0.01883043247181134, 0.018655386427629525, 0.017732706389810168, 0.01764064488991954, 0.01696750065323428, 0.01680416242789401, 0.01646677142969598, 0.016302109147507203, 0.01567736491852408, 0.015775334860131864, 0.015268470944354108, 0.0152759000636359, 0.01511510886309752]"
relu,mini_batch,0.01,"[5000, 128, 64, 90]",32,8.607852935791016,"{'Hamming Loss': array(0.00411125), 'Accuracy': array(0.76512227), 'Precision': array(0.91917293), 'Recall': array(0.76685834), 'F1 Score': array(0.83613565)}","{'Hamming Loss': array(0.00478083), 'Accuracy': array(0.74826101), 'Precision': array(0.87650139), 'Recall': array(0.76014957), 'F1 Score': array(0.81418967)}","[0.06169462877457415, 0.04265320646066712, 0.0396900280897412, 0.03615546131374298, 0.03244561038010914, 0.02945302789338343, 0.027797870498685057, 0.025481437590852588, 0.024158923807258616, 0.02214935807114566, 0.020470458398373338, 0.01926912264591914, 0.01817890469083281, 0.01742282773671283, 0.016249675968098766, 0.014977027279299093, 0.013992600439619822, 0.01428342850955444, 0.012872345916193344, 0.012596372898657728]","[0.042127514531571666, 0.039896530837906265, 0.039962580508812726, 0.0344695718239331, 0.02755444301950431, 0.027757764767161713, 0.02653753863458223, 0.02427423181874993, 0.02049719867409172, 0.026575162963438547, 0.01813923959419756, 0.018428262220213296, 0.01691040044462618, 0.01725151888093699, 0.01657902333021834, 0.01615152343094291, 0.014740294264886107, 0.015801973096274673, 0.013649237064445723, 0.013641021896368453]"
relu,mini_batch,0.01,"[5000, 128, 64, 90]",32,12.94015097618103,"{'Hamming Loss': array(0.00717146), 'Accuracy': array(0.50772201), 'Precision': array(0.91819853), 'Recall': array(0.52221641), 'F1 Score': array(0.66577807)}","{'Hamming Loss': array(0.00666151), 'Accuracy': array(0.58661809), 'Precision': array(0.88897828), 'Recall': array(0.59027778), 'F1 Score': array(0.7094703)}","[0.061633168936586186, 0.04201458910005584, 0.04001342025816492, 0.03853062139724103, 0.03554082458794304, 0.03148608630635295, 0.028989932297513295, 0.026597312501570568, 0.024959270924726218, 0.023960074593747258, 0.02236652113777662, 0.020719888122944206, 0.019076336699664402, 0.01794798525709892, 0.017807043475856866, 0.018645347419105472, 0.017388143370882618, 0.015251763368401549, 0.014321063218370846, 0.013478669374232618, 0.013412012993605608, 0.01274860408196678, 0.011858563172127868, 0.011027911403503237, 0.011072823255016323, 0.011356935782884773, 0.01010245301267425, 0.019376439805281514, 0.012302254948681458, 0.018661538221797412]","[0.04188301414685177, 0.03806586977949789, 0.03667215632957059, 0.0322533289956112, 0.029372845889356364, 0.02735510737914929, 0.025377067578235657, 0.023542062699807895, 0.022696190583521587, 0.02558483713893049, 0.02568475457155872, 0.018800257111918968, 0.020988256025750322, 0.01681910014868082, 0.016913132459847463, 0.015899237717985102, 0.0151393633215745, 0.015361562831798872, 0.014425322257400813, 0.013407510178329743, 0.014939704539026735, 0.013646625325117808, 0.013141440517131491, 0.013102445531157563, 0.013869835188284779, 0.013788768681367315, 0.01432002762291486, 0.012316199021046657, 0.012991809014136827, 0.025210713797898812]"
relu,mini_batch,0.001,"[5000, 128, 90]",32,7.416486024856567,"{'Hamming Loss': array(0.01006721), 'Accuracy': array(0.32689833), 'Precision': array(0.99412916), 'Recall': array(0.26555149), 'F1 Score': array(0.41914191)}","{'Hamming Loss': array(0.00907953), 'Accuracy': array(0.42861875), 'Precision': array(0.98407885), 'Recall': array(0.34668803), 'F1 Score': array(0.51273948)}","[0.10541179860197072, 0.04892893971200108, 0.04805025440826178, 0.04728529466196486, 0.046361935851950455, 0.045546562527766135, 0.04468440741487072, 0.04403058477481651, 0.04347252637105176, 0.0429398265258049, 0.042525121715558736, 0.04207902201105009, 0.04194564817882734, 0.04143762043293697, 0.04105937802349081, 0.040819450329784165, 0.04059537427762709, 0.04004881327710987, 0.03972233620587665, 0.03951237799705653]","[0.04936358838061192, 0.04837602473198433, 0.047734882935994635, 0.046804678437548305, 0.045895206502828176, 0.04491412707613358, 0.044258532390068224, 0.043677326544175187, 0.04311750812667627, 0.04256516725887554, 0.04219667134927706, 0.04193564161322676, 0.04143287958888979, 0.04111879447795728, 0.0408146266000581, 0.040533932928754415, 0.04026892559019529, 0.03982564860939527, 0.03958213799710792, 0.03937123724803743]"
relu,mini_batch,0.001,"[5000, 128, 90]",32,11.03369426727295,"{'Hamming Loss': array(0.00873731), 'Accuracy': array(0.44208494), 'Precision': array(0.99286733), 'Recall': array(0.36382645), 'F1 Score': array(0.53251721)}","{'Hamming Loss': array(0.00798646), 'Accuracy': array(0.51970851), 'Precision': array(0.97987805), 'Recall': array(0.42922009), 'F1 Score': array(0.59695394)}","[0.102561236240156, 0.048795576769602694, 0.048255110908755394, 0.04741221426105155, 0.04657680585018837, 0.045557497142721566, 0.04468942793161447, 0.04405064245667937, 0.04356318068219722, 0.043029607392939304, 0.04243605901374714, 0.042182414651113075, 0.041754514751130754, 0.041508859432823786, 0.04115431328979026, 0.04072378318808726, 0.0404645706322595, 0.040106847790757065, 0.039816714142571465, 0.03950779888246426, 0.03918302239775873, 0.03883985842202724, 0.03847437870283455, 0.038074764062581805, 0.03773658366083512, 0.03745393320148825, 0.03694899568268865, 0.03658018522312922, 0.0362703259532946, 0.03581137266661564]","[0.0494662560912143, 0.048948576707517656, 0.04789977875922213, 0.04689450932831904, 0.045948237337199944, 0.04503659147874231, 0.04431205857651013, 0.04364371416499607, 0.04315889979015406, 0.042660014410553504, 0.04218472590566061, 0.041801682585301723, 0.041531515201123415, 0.04130190413864214, 0.04083179662076803, 0.04052958139157538, 0.04026048429984918, 0.0398903048844217, 0.03977037285245115, 0.039279199016979884, 0.03893277768060601, 0.03862229921006244, 0.03821760650664205, 0.03791518740646035, 0.03756717131859531, 0.03719036015674983, 0.0369352545163411, 0.03649942085850571, 0.03618596440426399, 0.03574878755882887]"
relu,mini_batch,0.001,"[5000, 128, 64, 90]",32,8.647989273071289,"{'Hamming Loss': array(0.00735736), 'Accuracy': array(0.54568855), 'Precision': array(0.95286885), 'Recall': array(0.48614741), 'F1 Score': array(0.64382139)}","{'Hamming Loss': array(0.00728718), 'Accuracy': array(0.58893673), 'Precision': array(0.89445438), 'Recall': array(0.53418803), 'F1 Score': array(0.66889632)}","[0.08230659783646022, 0.04869571086741002, 0.04712935389563433, 0.04462375590717989, 0.04314013652782247, 0.0416177750798988, 0.04096359686792334, 0.04012583504694628, 0.03950246104170995, 0.03881784444534338, 0.03812479822085359, 0.037522906374406646, 0.036534247093664395, 0.035443261487552905, 0.034393314138006684, 0.03345010805797268, 0.03249750706007898, 0.03175480150666219, 0.030923631357579126, 0.03033584329368913]","[0.049108852252840396, 0.04883402018134293, 0.04545421884764586, 0.043685456736445964, 0.04172441574595004, 0.04119024957291843, 0.04031264631160033, 0.03970384298646799, 0.03884728024723141, 0.03867652522067613, 0.037495980886831606, 0.036826116506463925, 0.03599010955152898, 0.03502505832661569, 0.03396583381451576, 0.03325991893114149, 0.032313265303048885, 0.031511902791370575, 0.030693106814871408, 0.03043285085164174]"
relu,mini_batch,0.001,"[5000, 128, 64, 90]",32,13.003391742706299,"{'Hamming Loss': array(0.00689976), 'Accuracy': array(0.56048906), 'Precision': array(0.94216418), 'Recall': array(0.52796654), 'F1 Score': array(0.67671692)}","{'Hamming Loss': array(0.00699275), 'Accuracy': array(0.58893673), 'Precision': array(0.86968725), 'Recall': array(0.57932692), 'F1 Score': array(0.6954152)}","[0.07882150492632431, 0.048715046798908875, 0.04705387816165183, 0.04463686114197413, 0.04291482498529842, 0.04179271385803618, 0.04093173702071698, 0.040243676071107966, 0.03960127021071913, 0.03869029693486536, 0.03785579304719891, 0.036714040227941835, 0.03578154612914425, 0.0346697340840884, 0.03369399522645098, 0.03277135693556995, 0.032211503837282336, 0.03149620451174336, 0.03085293072014448, 0.030389345915995146, 0.029826728712821698, 0.029051120337400177, 0.028531465782959623, 0.028052719507473147, 0.02755739275069655, 0.027170866213070265, 0.026691894838663455, 0.026195310816210307, 0.025713982499520796, 0.025395000985585385]","[0.04992997237592074, 0.04777719136875926, 0.04571670578856994, 0.04355313961420837, 0.0426246460210242, 0.040886306089645226, 0.0403286715021643, 0.03944476489013168, 0.03882145220934319, 0.03834978820438243, 0.037316862820825546, 0.03610734881059162, 0.03493550845472835, 0.0342603439891237, 0.03327467426807796, 0.0336866735870826, 0.03177685297766014, 0.03142097948455401, 0.030810088536077217, 0.030065574311027625, 0.03000260469222605, 0.02947742414473286, 0.028524188924438667, 0.02809505858797491, 0.027785199198890154, 0.027828232921673836, 0.02680546235660197, 0.026522176703322162, 0.026226277458756563, 0.02590755876163099]"
relu,batch,0.01,"[5000, 128, 90]",32,2.412492275238037,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6932237070696632, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.01,"[5000, 128, 90]",32,3.6280040740966797,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6929782454348262, 0.2526236461043464, 0.25262364610417054, 0.25262364610399307, 0.2526236461038139, 0.25262364610363314, 0.2526236461034507, 0.2526236461032666, 0.2526236461030807, 0.2526236461028931, 0.2526236461027037, 0.25262364610251253, 0.2526236461023195, 0.2526236461021246, 0.25262364610192795, 0.2526236461017293, 0.25262364610152876, 0.2526236461013262, 0.25262364610112176, 0.2526236461009152, 0.2526236461007067, 0.25262364610049604, 0.25262364610028326, 0.2526236461000684, 0.25262364609985133, 0.25262364609963206, 0.2526236460994105, 0.25262364609918675, 0.2526236460989607, 0.2526236460987322]","[0.2519573922372517, 0.25195739223707553, 0.2519573922368977, 0.25195739223671826, 0.2519573922365372, 0.25195739223635444, 0.2519573922361699, 0.25195739223598373, 0.2519573922357958, 0.2519573922356061, 0.2519573922354145, 0.2519573922352212, 0.25195739223502595, 0.2519573922348289, 0.2519573922346299, 0.2519573922344289, 0.25195739223422603, 0.2519573922340212, 0.2519573922338143, 0.2519573922336053, 0.2519573922333943, 0.2519573922331812, 0.25195739223296587, 0.2519573922327484, 0.2519573922325288, 0.25195739223230684, 0.2519573922320826, 0.25195739223185615, 0.2519573922316272, 0.251957392231396]"
relu,batch,0.01,"[5000, 128, 64, 90]",32,2.437729835510254,"{'Hamming Loss': array(0.01656657), 'Accuracy': array(0.36679537), 'Precision': array(0.37001287), 'Recall': array(0.30057501), 'F1 Score': array(0.33169888)}","{'Hamming Loss': array(0.01688933), 'Accuracy': array(0.35872806), 'Precision': array(0.360053), 'Recall': array(0.2903312), 'F1 Score': array(0.32145498)}","[0.6929250915364834, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894, 0.30567757783978894]","[0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355, 0.30516742391182355]"
relu,batch,0.01,"[5000, 128, 64, 90]",32,3.6676523685455322,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6931112023089468, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672, 0.2526236461429672]","[0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251, 0.2519573922759251]"
relu,batch,0.001,"[5000, 128, 90]",32,2.4264137744903564,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6932683420528812, 0.08022233494921538, 2.50032361841355, 0.21912578713495376, 0.18893208216781932, 0.08335440171469714, 0.07626286081153309, 0.07062464675657584, 0.06631912879359841, 0.06325632343295093, 0.06326405301909051, 0.0751415677405481, 0.061921576883265425, 0.060666978369409236, 0.05973156063809071, 0.0589328683453118, 0.05823509333446175, 0.057614366497943124, 0.05705470701264575, 0.05654550670673137]","[0.08050736066812787, 2.5004289448462313, 0.22123187587891197, 0.18740384554054226, 0.08312419768518979, 0.07619796085308787, 0.07071706879724825, 0.06656139719433325, 0.0635427247581058, 0.0633837632582421, 0.07543207078103172, 0.06209128490086831, 0.06086428920447333, 0.05991143999823083, 0.05909409704998304, 0.05837829066719427, 0.05774093291516763, 0.057166053664221665, 0.05664334546580533, 0.056165779874142396]"
relu,batch,0.001,"[5000, 128, 90]",32,3.6354355812072754,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.6929342054556423, 0.09285476504296025, 3.1601526629041916, 0.49439238752277165, 0.1664975530946135, 0.09470911005893336, 0.07805580288002298, 0.07371645282801324, 0.07081188121977214, 0.06844104152402113, 0.06638637285342214, 0.06456684448004549, 0.06293840993142369, 0.061478094810332354, 0.0601757999154445, 0.059028760817242905, 0.058036305616071635, 0.05719470483057374, 0.05649353176341357, 0.055915354396898494, 0.055438739546085726, 0.055042228115994664, 0.054706994787154795, 0.05441778558887242, 0.05416285358647407, 0.053933509439857974, 0.053723544769991624, 0.05352863742137927, 0.05334581377559442, 0.05317301849251315]","[0.09270766433440711, 3.161555374595342, 0.4975939261735073, 0.16645232641875565, 0.09545098442370793, 0.07841501312110442, 0.07415170623675336, 0.07125283701743712, 0.06886002436565289, 0.06678455036906333, 0.06494427788686669, 0.06329584661642405, 0.06181609088895109, 0.06049509799247374, 0.05933008117395214, 0.058320397121430466, 0.05746230406578163, 0.056745420169779466, 0.05615243345282754, 0.05566211535392579, 0.05525323359531455, 0.05490713497282863, 0.05460862731814791, 0.054345907862523614, 0.054110139194191116, 0.05389491418817333, 0.053695696109131344, 0.05350930812980211, 0.05333351678327586, 0.05316672571600343]"
relu,batch,0.001,"[5000, 128, 64, 90]",32,2.4425711631774902,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.693135936423737, 0.15284225696413012, 6.818011234388092, 4.351187474893658, 0.7629558367587674, 0.12503607358798602, 0.2047899075586207, 0.09871334528943877, 0.08359196593310408, 0.0719675227315489, 0.06787732267684918, 0.06594980111184824, 0.06428236954973011, 0.06277428004128179, 0.06139476801892322, 0.060115277391702804, 0.058804036538110796, 0.05748702145803204, 0.055985597514564014, 0.05431383418332062]","[0.15374587462049014, 6.824036719909741, 4.35788808162586, 0.766242194203437, 0.12433262245766732, 0.20595387202634605, 0.09843902495567917, 0.08349991246122603, 0.07203679509869854, 0.06804909054714572, 0.06614284988973736, 0.06447133446580434, 0.06295950529545855, 0.061577789521419915, 0.06029526538789252, 0.05896469568666448, 0.057624830136444906, 0.0560903427793375, 0.054360959592824026, 0.0526931505258607]"
relu,batch,0.001,"[5000, 128, 64, 90]",32,3.666011333465576,"{'Hamming Loss': array(0.01367796), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","{'Hamming Loss': array(0.0137794), 'Accuracy': array(0.), 'Precision': 0, 'Recall': array(0.), 'F1 Score': 0}","[0.693341556242649, 0.3590943713074701, 6.2386829506301, 2.9415664322524506, 0.11767581747264558, 0.07978204651064616, 0.07021055079233099, 0.06573673420138162, 0.06295843800563021, 0.0615610635963794, 0.06057929993523241, 0.05975571613965759, 0.05904749061443519, 0.058427147878792184, 0.05787556651002234, 0.05737905235490294, 0.0569275704593255, 0.056513629316380244, 0.056131550290568544, 0.05577697306546877, 0.05544651028287685, 0.05513749910422575, 0.05484781745870439, 0.054575744842539485, 0.054319855105993624, 0.05407893349807047, 0.053851913278363354, 0.053637828964271494, 0.05343578408447177, 0.053244931434629536]","[0.36186636500593056, 6.23225421231248, 2.9371447336094865, 0.11609724332817514, 0.07912443847544512, 0.06978353756856882, 0.06551302847280045, 0.06289423043904198, 0.061578665874497604, 0.06061980945672877, 0.05981036732742086, 0.05911508020671868, 0.058506598500533503, 0.057966020290530676, 0.05747982709769542, 0.057038093342194264, 0.05663340822047148, 0.056260143057100094, 0.055913968474599014, 0.05559151168155461, 0.05529011287341127, 0.05500764410395562, 0.0547423729140259, 0.0544928573516152, 0.05425786517703696, 0.05403631238968724, 0.053827218204220935, 0.0536296742455955, 0.05344282590306305, 0.05326586351205351]"
relu,sgd,0.01,"[5000, 128, 90]",32,187.45238852500916,"{'Hamming Loss': array(0.00506936), 'Accuracy': array(0.68339768), 'Precision': array(0.94134897), 'Recall': array(0.67119707), 'F1 Score': array(0.78364358)}","{'Hamming Loss': array(0.00548011), 'Accuracy': array(0.70685658), 'Precision': array(0.85873369), 'Recall': array(0.72088675), 'F1 Score': array(0.78379556)}","[0.05216546954149093, 0.041819102150921265, 0.03810749136448224, 0.034609939474380194, 0.03188935677861749, 0.029924136742140398, 0.02816901677434231, 0.026708490828209922, 0.025360663804302696, 0.024229307087329757, 0.023168040391498328, 0.02214870731644135, 0.021233148407699666, 0.02042163602045352, 0.019545334715343372, 0.018830986448247492, 0.018135571024757866, 0.017450713984772315, 0.016859814519183627, 0.016353810282382267]","[0.043287635855181174, 0.03980026719967059, 0.03588159803538963, 0.03368927350850356, 0.030737344263205124, 0.029261442199616197, 0.028174134265188885, 0.026629724319108237, 0.02521406742995411, 0.02443738963464001, 0.023610095103583997, 0.022356936712770375, 0.02189139294149684, 0.020730875412991324, 0.020177553825204766, 0.02131769658868855, 0.019536201933852575, 0.018855224018830788, 0.018620443454236597, 0.018158331952079335]"
relu,sgd,0.01,"[5000, 128, 90]",32,281.2400801181793,"{'Hamming Loss': array(0.00426855), 'Accuracy': array(0.74646075), 'Precision': array(0.95316804), 'Recall': array(0.72347099), 'F1 Score': array(0.82258544)}","{'Hamming Loss': array(0.00462994), 'Accuracy': array(0.75157337), 'Precision': array(0.87484922), 'Recall': array(0.77483974), 'F1 Score': array(0.82181303)}","[0.05257610133471804, 0.042071644717425104, 0.038700072317046794, 0.035223148815278216, 0.03240729377892238, 0.03028069182514069, 0.02851043211473188, 0.027033253701290623, 0.025690862608135558, 0.024425933585788095, 0.023307226788986685, 0.022304967815977177, 0.0213378816124324, 0.020461164168802136, 0.019638016373796304, 0.01887167823319677, 0.018136138360819967, 0.017468665069571038, 0.016839422519899686, 0.016264474620849595, 0.015775517772702134, 0.015291949353214367, 0.014799639251105813, 0.014382957078672095, 0.01396043873447906, 0.013589730115229397, 0.013172937043082183, 0.012828826677787702, 0.012478523806326912, 0.012187241006659145]","[0.043416621581017535, 0.03977617852311532, 0.037499602826231465, 0.03370627520835815, 0.031284275119082064, 0.029299018495056013, 0.028077305965268893, 0.02653284391638715, 0.02541727193774791, 0.024250122962387943, 0.02325089248034735, 0.02249185472394545, 0.022470919988255643, 0.020694818321031375, 0.020235390418892447, 0.019560280575269023, 0.01973886218593128, 0.018490288907681056, 0.018048784405545394, 0.01763809524241988, 0.01718127887688322, 0.01675941679314022, 0.016317276322987843, 0.01629901071132046, 0.01576930287487157, 0.015621752249663673, 0.015059915491138956, 0.015546058842447787, 0.01497305162486989, 0.014671092803514228]"
relu,sgd,0.01,"[5000, 128, 64, 90]",32,231.8586208820343,"{'Hamming Loss': array(0.00398255), 'Accuracy': array(0.78056628), 'Precision': array(0.87877095), 'Recall': array(0.82226869), 'F1 Score': array(0.84958142)}","{'Hamming Loss': array(0.0052372), 'Accuracy': array(0.74395495), 'Precision': array(0.80387536), 'Recall': array(0.81997863), 'F1 Score': array(0.81184715)}","[0.04839419704204514, 0.03775257703090312, 0.03132287991166911, 0.027325797905210253, 0.02423437049395584, 0.021626839845028025, 0.01956142341107822, 0.017910810112412915, 0.01631136812644561, 0.015021949302666234, 0.013810135080153767, 0.012908375149035076, 0.011958481175150604, 0.011421969436068222, 0.010603757628446377, 0.010060934981105177, 0.009574154125188127, 0.009096903451536598, 0.008594644961163725, 0.008213674991966227]","[0.04046516722962309, 0.033298463677875714, 0.02967085577058774, 0.025396559046714364, 0.02507982907240377, 0.021238326569029502, 0.02254510959292007, 0.018157983758961077, 0.016338554623895326, 0.016645084729068855, 0.016150905112439107, 0.015218413479680915, 0.0160079400652874, 0.013431624400936691, 0.029372344199002007, 0.013380495073803645, 0.012852610253231467, 0.012346410684675119, 0.013061652910293776, 0.013550554982336687]"
relu,sgd,0.01,"[5000, 128, 64, 90]",32,350.5218257904053,"{'Hamming Loss': array(0.0032604), 'Accuracy': array(0.82046332), 'Precision': array(0.9237929), 'Recall': array(0.83010978), 'F1 Score': array(0.87444934)}","{'Hamming Loss': array(0.00426558), 'Accuracy': array(0.78270951), 'Precision': array(0.85170068), 'Recall': array(0.83600427), 'F1 Score': array(0.84377949)}","[0.04829809193211425, 0.03644718021284701, 0.030920778156590705, 0.02674661166337359, 0.023695247122590142, 0.02116702250753897, 0.01907157862123076, 0.017448567048587358, 0.015981528035948833, 0.014794236959267248, 0.013712821364725692, 0.012762693153499302, 0.011900670486354226, 0.011068726162588348, 0.010452178473646183, 0.009834180067074288, 0.00932080265209536, 0.008700828019688134, 0.008311478366956213, 0.007885548529927813, 0.007458856593228795, 0.00709104325196194, 0.006780643839407763, 0.006457353397394797, 0.006241332636717975, 0.005873887900379525, 0.005594364174009037, 0.005484892955408973, 0.005346081687433143, 0.005074957421210307]","[0.0410111860933925, 0.033127002520691874, 0.029940428377914607, 0.026762719714366535, 0.02306515686295636, 0.0203558760832364, 0.02116410256917508, 0.018837496206133564, 0.017642547459615465, 0.015464437693166952, 0.01584662997210066, 0.01660796467219153, 0.013929159761856272, 0.015490569543194761, 0.01421053241981707, 0.014383844050018427, 0.013468529880338698, 0.01203092608261296, 0.013238420008328153, 0.012616682919755321, 0.011540462846794398, 0.012648050401158666, 0.011863318282746284, 0.011762537697469414, 0.011977018127759887, 0.012612881300857727, 0.01174057625143758, 0.011754103801031514, 0.01200026523946572, 0.01196610473983894]"
